Semester,Date,Day,Time,Department,Subject,Subject Code,
7th,16-03-2024,রবিবার,2:00 PM - 3:00 PM,সিভিল টেকনোলজি,প্রিন্সিপাল অব মার্কেটিং,25851,
7th,16-03-2024,রবিবার,2:00 PM - 3:00 PM,ইলেকট্রিক্যাল টেকনোলজি,বিজনেস কমিউনিকেশন,25831,
7th,16-03-2024,রবিবার,2:00 PM - 3:00 PM,মেকানিক্যাল টেকনোলজি,টুল ডিজাইন,27072,
7th,16-03-2024,রবিবার,2:00 PM - 3:00 PM,পাওয়ার টেকনোলজি,প্রিন্সিপাল অব মার্কেটিং,25851,
7th,16-03-2024,রবিবার,2:00 PM - 3:00 PM,ইলেকট্রনিক্স টেকনোলজি,বিজনেস কমিউনিকেশন,25831,
7th,16-03-2024,রবিবার,2:00 PM - 3:00 PM,কম্পিউটার টেকনোলজি,ডিজিটাল মার্কেটিং টেকনিক,28571,
7th,16-03-2024,রবিবার,2:00 PM - 3:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,বিজনেস কমিউনিকেশন,25831,
7th,17-03-2024,সোমবার,2:00 PM - 3:00 PM,সিভিল টেকনোলজি,ইনোভেশন এন্ড এন্টারপ্রোনিয়ারশীপ,25853,
7th,17-03-2024,সোমবার,2:00 PM - 3:00 PM,ইলেকট্রিক্যাল টেকনোলজি,ইনোভেশন এন্ড এন্টারপ্রোনিয়ারশীপ,25853,
7th,17-03-2024,সোমবার,2:00 PM - 3:00 PM,মেকানিক্যাল টেকনোলজি,ইনোভেশন এন্ড এন্টারপ্রোনিয়ারশীপ,25853,
7th,17-03-2024,সোমবার,2:00 PM - 3:00 PM,পাওয়ার টেকনোলজি,ইনোভেশন এন্ড এন্টারপ্রোনিয়ারশীপ,25853,
7th,17-03-2024,সোমবার,2:00 PM - 3:00 PM,ইলেকট্রনিক্স টেকনোলজি,ইনোভেশন এন্ড এন্টারপ্রোনিয়ারশীপ,25853,
7th,17-03-2024,সোমবার,2:00 PM - 3:00 PM,কম্পিউটার টেকনোলজি,ইনোভেশন এন্ড এন্টারপ্রোনিয়ারশীপ,25853,
7th,17-03-2024,সোমবার,2:00 PM - 3:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ইনোভেশন এন্ড এন্টারপ্রোনিয়ারশীপ,25853,
7th,18-03-2024,মঙ্গলবার,2:00 PM - 3:00 PM,সিভিল টেকনোলজি,কনস্ট্রাকশন ম্যানেজমেন্ট এন্ড ডকুমেন্টেশন,28871,
7th,18-03-2024,মঙ্গলবার,2:00 PM - 3:00 PM,ইলেকট্রিক্যাল টেকনোলজি,অল্টারনেটিং কারেন্ট মেশিনস-২,26771,
7th,18-03-2024,মঙ্গলবার,2:00 PM - 3:00 PM,মেকানিক্যাল টেকনোলজি,ডিজাইন অব মেশিন এলিমেন্ট,27071,
7th,18-03-2024,মঙ্গলবার,2:00 PM - 3:00 PM,পাওয়ার টেকনোলজি,ডিজাইন অব মেশিন এলিমেন্ট,27071,
7th,18-03-2024,মঙ্গলবার,2:00 PM - 3:00 PM,ইলেকট্রনিক্স টেকনোলজি,অল্টারনেটিং কারেন্ট মেশিনস-২,26771,
7th,18-03-2024,মঙ্গলবার,2:00 PM - 3:00 PM,কম্পিউটার টেকনোলজি,নেটওয়ার্ক এ্যাডমিনিস্ট্রেশন এন্ড সার্ভিসেস,28572,
7th,18-03-2024,মঙ্গলবার,2:00 PM - 3:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,সুইচগিয়ার এন্ড প্রোটেকশন,26773,
7th,19-03-2024,বুধবার,2:00 PM - 3:00 PM,সিভিল টেকনোলজি,স্যানিটারি ইঞ্জিনিয়ারিং,26472,
7th,19-03-2024,বুধবার,2:00 PM - 3:00 PM,ইলেকট্রিক্যাল টেকনোলজি,ট্রান্সমিশন এন্ড ডিস্ট্রিবিউশন অব ইলেকট্রিক্যাল পাওয়ার-২,26772,
7th,19-03-2024,বুধবার,2:00 PM - 3:00 PM,মেকানিক্যাল টেকনোলজি,হিট ট্রিটমেন্ট অব মেটালস,27073,
7th,19-03-2024,বুধবার,2:00 PM - 3:00 PM,পাওয়ার টেকনোলজি,হিট ট্রিটমেন্ট অব মেটালস,27073,
7th,19-03-2024,বুধবার,2:00 PM - 3:00 PM,ইলেকট্রনিক্স টেকনোলজি,ট্রান্সমিশন এন্ড ডিস্ট্রিবিউশন অব ইলেকট্রিক্যাল পাওয়ার-২,26772,
7th,19-03-2024,বুধবার,2:00 PM - 3:00 PM,কম্পিউটার টেকনোলজি,সাইবার সিকুরিটি এন্ড ইথিকস,28573,
7th,19-03-2024,বুধবার,2:00 PM - 3:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,অ্যাডভ্যান্সড বায়োমেডিক্যাল ইকুইপমেন্ট,28671,
7th,20-03-2024,বৃহস্পতিবার,2:00 PM - 3:00 PM,সিভিল টেকনোলজি,ট্রান্সপোর্টেশন ইঞ্জিনিয়ারিং -২,26473,
7th,20-03-2024,বৃহস্পতিবার,2:00 PM - 3:00 PM,ইলেকট্রিক্যাল টেকনোলজি,সুইচগিয়ার এন্ড প্রোটেকশন,26773,
7th,20-03-2024,বৃহস্পতিবার,2:00 PM - 3:00 PM,মেকানিক্যাল টেকনোলজি,প্রোডাকশন প্লানিং এন্ড কন্ট্রোল,27075,
7th,20-03-2024,বৃহস্পতিবার,2:00 PM - 3:00 PM,পাওয়ার টেকনোলজি,সার্ভিস স্টেশন অপারেশন এন্ড এস্টিমেটিং,27171,
7th,20-03-2024,বৃহস্পতিবার,2:00 PM - 3:00 PM,ইলেকট্রনিক্স টেকনোলজি,মাইক্রো- ওয়েভ রাডার এন্ড নেভিগেশন এইডস,26871,
7th,20-03-2024,বৃহস্পতিবার,2:00 PM - 3:00 PM,কম্পিউটার টেকনোলজি,এ্যাপস ডেভেলপমেন্ট প্রোজেক্ট,28574,
7th,20-03-2024,বৃহস্পতিবার,2:00 PM - 3:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,আইসিইউ এন্ড সিসিইউ ইকুইপমেন্ট,28672,
7th,22-03-2024,শনিবার,2:00 PM - 3:00 PM,সিভিল টেকনোলজি,ডিজাইন অব স্ট্রাকচার-২,26474,
7th,22-03-2024,শনিবার,2:00 PM - 3:00 PM,ইলেকট্রিক্যাল টেকনোলজি,অটোমোশন ইঞ্জিনিয়ারিং এন্ড পিএলসি,26875,
7th,22-03-2024,শনিবার,2:00 PM - 3:00 PM,মেকানিক্যাল টেকনোলজি,মেকাট্রনিক্স এন্ড পিএলসি,29231,
7th,22-03-2024,শনিবার,2:00 PM - 3:00 PM,পাওয়ার টেকনোলজি,ফান্ডামেন্টাল অব হাইব্রিড এন্ড ইলেকট্রিক ভেহিকেল,27172,
7th,22-03-2024,শনিবার,2:00 PM - 3:00 PM,ইলেকট্রনিক্স টেকনোলজি,ইন্ডাস্ট্রিয়াল অটোমোশন এন্ড পিএলসি,26872,
7th,22-03-2024,শনিবার,2:00 PM - 3:00 PM,কম্পিউটার টেকনোলজি,মাল্টিমিডিয়া এন্ড এনিমেশন,28575,
7th,22-03-2024,শনিবার,2:00 PM - 3:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,মেডিক্যাল ফিজিক্স এন্ড নিউক্লিয়ার ইনস্ট্রুমেন্ট,28674,
7th,23-03-2024,রবিবার,2:00 PM - 3:00 PM,সিভিল টেকনোলজি,এস্টিমেটিং এন্ড কস্টিং-২,26475,
7th,23-03-2024,রবিবার,2:00 PM - 3:00 PM,ইলেকট্রনিক্স টেকনোলজি,কন্ট্রোল সিস্টেম এন্ড রোবোটিক্স,26873,
5th,16-03-2024,রবিবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,ইন্ডাস্ট্রিয়াল ম্যানেজমেন্ট,25852,
5th,16-03-2024,রবিবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,ইন্ডাস্ট্রিয়াল ম্যানেজমেন্ট,25852,
5th,16-03-2024,রবিবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,ইন্ডাস্ট্রিয়াল ম্যানেজমেন্ট,25852,
5th,16-03-2024,রবিবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,ইন্ডাস্ট্রিয়াল ম্যানেজমেন্ট,25852,
5th,16-03-2024,রবিবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,ইন্ডাস্ট্রিয়াল ম্যানেজমেন্ট,25852,
5th,16-03-2024,রবিবার,12:00 PM - 1:00 PM,কম্পিউটার সাইন্স এন্ড টেকনোলজি,একাউন্টিং,25841,
5th,16-03-2024,রবিবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ইন্ডাস্ট্রিয়াল ম্যানেজমেন্ট,25852,
5th,17-03-2024,সোমবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,হাইড্রলিক্স,26456,
5th,17-03-2024,সোমবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,প্রিন্সিপাল অব মার্কেটিং,25851,
5th,17-03-2024,সোমবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,ফ্লুইড মেকানিক্স অ্যান্ড মেশিনারিজ,27051,
5th,17-03-2024,সোমবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,ফ্লুইড মেকানিক্স অ্যান্ড মেশিনারিজ,27051,
5th,17-03-2024,সোমবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,প্রিন্সিপাল অব মার্কেটিং,25851,
5th,17-03-2024,সোমবার,12:00 PM - 1:00 PM,কম্পিউটার সাইন্স এন্ড টেকনোলজি,এপ্লিকেশন ডেভেলপমেন্ট ইউজিং জাভা,28551,
5th,17-03-2024,সোমবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,প্রিন্সিপাল অব মার্কেটিং,25851,
5th,18-03-2024,মঙ্গলবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,সিভিল ক্যাড-২,26452,
5th,18-03-2024,মঙ্গলবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,জেনারেশন অব ইলেকট্রিক্যাল পাওয়ার,26751,
5th,18-03-2024,মঙ্গলবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,মেকানিক্যাল এস্টিমেটিং অ্যান্ড কস্টিং,27052,
5th,18-03-2024,মঙ্গলবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,অটোমোটিভ বডি বিল্ডিং,26241,
5th,18-03-2024,মঙ্গলবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,জেনারেশন অব ইলেকট্রিক্যাল পাওয়ার,26751,
5th,18-03-2024,মঙ্গলবার,12:00 PM - 1:00 PM,কম্পিউটার সাইন্স এন্ড টেকনোলজি,ওয়েব ডিজাইন অ্যান্ড ডেভেলপমেন্ট-২,28552,
5th,18-03-2024,মঙ্গলবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,এসি মেশিন-১,26761,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,সার্ভেয়িং -৩,26453,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,ইলেকট্রিক্যাল অ্যান্ড ইলেকট্রনিক মেজারমেন্ট-১,26752,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,আডভান্সড ওয়েল্ডিং-১,27053,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,আডভান্সড ওয়েল্ডিং-১,27053,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,ইলেকট্রিক্যাল অ্যান্ড ইলেকট্রনিক মেজারমেন্ট-১,26752,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,কম্পিউটার সাইন্স এন্ড টেকনোলজি,কম্পিউটার আর্কিটেকচার অ্যান্ড মাইক্রো প্রসেসর,28553,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ইলেকট্রিক্যাল অ্যান্ড ইলেকট্রনিক মেজারমেন্ট-২,26763,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,ওয়াটার সাপ্লাই ইঞ্জিনিয়ারিং,26455,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,মাইক্রো প্রসেসর অ্যান্ড মাইক্রো কন্ট্রোলার,26853,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,ম্যানুফ্যাকচারিং প্রসেস,27055,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,পাওয়ার প্লান্ট ইঞ্জিনিয়ারিং,27152,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,বায়ো মেডিক্যাল ইন্সট্রুমেন্টস,28654,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,কম্পিউটার সাইন্স এন্ড টেকনোলজি,অপারেটিং সিস্টেম,28555,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ফাইবার অপটিক্স অ্যান্ড লেসার ইন মেডিক্যাল ফিল্ড,28652,
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,থিওরি অব স্ট্রাকচার,26454,
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,টেস্টিং অ্যান্ড মেইন্টেন্যান্স অব ইলেকট্রিক্যাল ইকুইপমেন্ট,26753,
